Syst,Gene,alphaLow,alpha,alphaHigh,thalfLowRaw,thalfRaw,thalfHighRaw,thalfLow,thalf,thalfHigh,Yeq,iterations,GoodMeanCounts,ss.abundance,syn.low,syn,syn.high
YBR048W,RPS11B,0.0192,0.0235,0.0277,25.1,29.5,36.2,33.4,41.7,56.5,12618.3,1000,1,57.18,1.098,1.344,1.584
YBR049C,REB1,0.088,0.1048,0.121,5.7,6.6,7.9,6.1,7.1,8.5,5196,1000,1,4.149,0.365,0.435,0.502
YBR050C,REG2,0.0403,0.0499,0.06,11.6,13.9,17.2,13.1,16.1,20.8,64.4,1000,0,0.8478,0.034,0.042,0.051
YBR052C,RFS1,0.0351,0.0476,0.0593,11.7,14.6,19.7,13.2,17.1,24.6,3762.6,1000,1,11.25,0.395,0.536,0.667
YBR053C,YBR053C,0.028,0.0339,0.0389,17.8,20.4,24.7,21.7,25.6,32.8,4548.1,1000,1,3.541,0.099,0.12,0.138
YBR054W,YRO2,0.0266,0.0317,0.0378,18.3,21.9,26,22.4,28,35.1,12495.9,1000,1,4.489,0.119,0.142,0.17
YBR055C,PRP6,0.069,0.0788,0.0891,7.8,8.8,10,8.4,9.6,11.2,3558.2,1000,1,2.564,0.177,0.202,0.228
YBR056W,YBR056W,0.0437,0.0548,0.0651,10.6,12.7,15.9,11.9,14.5,18.9,5738.1,1000,1,4.128,0.18,0.226,0.269
YBR057C,MUM2,0.0559,0.0642,0.0718,9.7,10.8,12.4,10.7,12.1,14.1,1263.4,1000,1,3.965,0.222,0.255,0.285
YBR058C,UBP14,0.0649,0.0767,0.0921,7.5,9,10.7,8.1,9.9,12,4541.6,1000,1,3.064,0.199,0.235,0.282
YBR058C-A,TSC3,0.0205,0.0246,0.028,24.7,28.2,33.8,32.8,39.2,50.9,3010.3,1000,1,13.5,0.277,0.332,0.378
YBR059C,AKL1,0.0798,0.096,0.1122,6.2,7.2,8.7,6.6,7.8,9.5,6656.4,1000,1,4.009,0.32,0.385,0.45
YBR060C,ORC2,0.0781,0.0904,0.1037,6.7,7.7,8.9,7.2,8.3,9.7,1691.4,1000,1,3.293,0.257,0.298,0.342
YBR061C,TRM7,0.0515,0.0629,0.0737,9.4,11,13.5,10.4,12.4,15.5,845.1,1000,1,3.92,0.202,0.247,0.289
YBR062C,YBR062C,0.0352,0.0409,0.046,15.1,17,19.7,17.8,20.4,24.5,738.1,1000,1,2.455,0.086,0.1,0.113
YBR063C,YBR063C,0.0709,0.0881,0.1029,6.7,7.9,9.8,7.2,8.5,10.8,1225.7,1000,1,1.202,0.085,0.106,0.124
YBR065C,ECM2,0.0859,0.0985,0.11,6.3,7,8.1,6.7,7.6,8.8,1944.6,1000,1,0.8388,0.072,0.083,0.092
YBR066C,NRG2,0.0115,0.014,0.0164,42.4,49.6,60.2,73.3,98,149.9,6647.8,1000,1,1.808,0.021,0.025,0.03
YBR067C,TIP1,0.062,0.083,0.1058,6.5,8.4,11.2,7,9.1,12.6,5781.7,997,1,10.03,0.622,0.832,1.061
YBR069C,TAT1,0.0734,0.0836,0.0949,7.3,8.3,9.4,7.9,9,10.4,12849.1,988,1,7.152,0.525,0.598,0.679
YBR070C,ALG14,0.0212,0.0247,0.0279,24.9,28.1,32.7,33,38.9,48.6,2590.8,1000,1,1.792,0.038,0.044,0.05
YBR071W,YBR071W,0.1079,0.1209,0.1343,5.2,5.7,6.4,5.4,6.1,6.9,1042.6,1000,1,1.766,0.191,0.214,0.237
YBR073W,RDH54,0.0732,0.0852,0.1011,6.9,8.1,9.5,7.4,8.9,10.5,7858.2,998,1,4.005,0.293,0.341,0.405
YBR074W,YBR074W,0.0629,0.0751,0.0904,7.7,9.2,11,8.3,10.2,12.4,12682,870,1,3.7,0.233,0.278,0.335
YBR076C-A,YBR076C-A,0.0565,0.0699,0.0833,8.3,9.9,12.3,9.1,11,14,1330.7,1000,1,3.386,0.191,0.237,0.282
YBR077C,SLM4,0.0307,0.0356,0.0395,17.5,19.5,22.5,21.2,24.2,29.1,1133.6,1000,1,2.163,0.066,0.077,0.085
YBR078W,ECM33,0.0624,0.0732,0.0858,8.1,9.5,11.1,8.8,10.4,12.5,39654.4,144,1,85.67,5.346,6.271,7.351
YBR079C,RPG1,0.0726,0.0837,0.1033,6.7,8.3,9.5,7.2,9,10.5,22949,419,1,13.7,0.995,1.147,1.416
YBR080C,SEC18,0.0667,0.0847,0.1034,6.7,8.2,10.4,7.2,8.9,11.6,8764.8,937,1,5.402,0.36,0.458,0.559
YBR081C,SPT7,0.0877,0.0997,0.1142,6.1,7,7.9,6.5,7.5,8.6,5861.5,1000,1,2.748,0.241,0.274,0.314
YBR082C,UBC4,0.0591,0.0776,0.099,7,8.9,11.7,7.5,9.8,13.3,4313.2,1000,1,32.81,1.939,2.546,3.248
YBR083W,TEC1,0.2111,0.2879,0.3889,1.8,2.4,3.3,1.8,2.5,3.4,887,1000,1,5.417,1.143,1.559,2.107
YBR084C-A,RPL19A,0.0177,0.0217,0.0254,27.3,31.9,39.2,37.4,46.8,64.3,20176.7,997,1,78.14,1.383,1.696,1.985
YBR084W,MIS1,0.0483,0.0623,0.0782,8.9,11.1,14.4,9.7,12.5,16.8,15447.3,752,1,9.806,0.474,0.611,0.767
YBR085C-A,YBR085C-A,0.0401,0.0525,0.0655,10.6,13.2,17.3,11.8,15.2,20.9,2584.9,1000,1,12.24,0.491,0.643,0.802
YBR085W,AAC3,0.0481,0.0569,0.0692,10,12.2,14.4,11.1,13.9,16.8,345.7,1000,0,3.025,0.146,0.172,0.209
YBR086C,IST2,0.0739,0.0877,0.1099,6.3,7.9,9.4,6.7,8.6,10.3,23296.5,324,1,10.29,0.76,0.902,1.131
YBR087W,RFC5,0.0241,0.0282,0.0325,21.3,24.6,28.7,27,32.6,40.2,2239.4,1000,1,4.593,0.111,0.13,0.149
YBR088C,POL30,0.0298,0.0341,0.0386,17.9,20.3,23.3,21.8,25.5,30.3,4657.1,1000,1,15.13,0.451,0.516,0.584
YBR089C-A,NHP6B,0.0163,0.0194,0.0219,31.7,35.7,42.6,46.2,55.4,74,2175.1,1000,1,3.343,0.054,0.065,0.073
YBR091C,TIM12,0.0302,0.0358,0.0409,16.9,19.4,22.9,20.4,24,29.7,403.1,1000,0,3.282,0.099,0.118,0.134
YBR092C,PHO3,0.0614,0.0754,0.0919,7.5,9.2,11.3,8.2,10.1,12.7,11249,910,1,17.04,1.046,1.285,1.566
YBR093C,PHO5,0.0613,0.075,0.0915,7.6,9.2,11.3,8.2,10.2,12.7,1664.9,1000,1,0.342,0.021,0.026,0.031
YBR094W,PBY1,0.0748,0.0882,0.1022,6.8,7.9,9.3,7.3,8.5,10.2,2952.6,1000,1,3.012,0.225,0.266,0.308
YBR095C,RXT2,0.0511,0.0593,0.068,10.2,11.7,13.6,11.3,13.2,15.7,1334.3,1000,1,2.975,0.152,0.176,0.202
YBR096W,YBR096W,0.027,0.0306,0.0343,20.2,22.6,25.7,25.3,29.2,34.5,3827.1,1000,1,7.213,0.195,0.221,0.247
YBR097W,VPS15,0.062,0.0757,0.0895,7.7,9.2,11.2,8.4,10.1,12.6,2984.4,1000,1,2.011,0.125,0.152,0.18
YBR098W,MMS4,0.0781,0.0916,0.1059,6.5,7.6,8.9,7,8.2,9.7,643.2,1000,1,0.654,0.051,0.06,0.069
