Syst,Gene,alphaLow,alpha,alphaHigh,thalfLowRaw,thalfRaw,thalfHighRaw,thalfLow,thalf,thalfHigh,Yeq,iterations,GoodMeanCounts,ss.abundance,syn.low,syn,syn.high
YDR051C,DET1,0.0657,0.0823,0.0969,7.2,8.4,10.5,7.7,9.2,11.8,1358.9,1000,1,5.035,0.331,0.414,0.488
YDR052C,DBF4,0.1424,0.1702,0.2184,3.2,4.1,4.9,3.3,4.2,5.1,1936.9,1000,1,2.774,0.395,0.472,0.606
YDR054C,CDC34,0.0861,0.0999,0.1136,6.1,6.9,8.1,6.5,7.5,8.8,2307.4,1000,1,4.954,0.427,0.495,0.563
YDR055W,PST1,0.0841,0.0997,0.1142,6.1,7,8.2,6.5,7.5,9,10269.3,975,1,11.42,0.96,1.138,1.304
YDR056C,YDR056C,0.0207,0.0239,0.0265,26.2,29,33.4,35.4,40.7,50.1,3967.6,1000,1,8.894,0.184,0.213,0.236
YDR057W,YOS9,0.0722,0.0875,0.1016,6.8,7.9,9.6,7.3,8.6,10.6,1447.9,1000,1,2.495,0.18,0.218,0.254
YDR058C,TGL2,0.0439,0.0559,0.066,10.5,12.4,15.8,11.7,14.1,18.7,237.7,1000,0,0.8598,0.038,0.048,0.057
YDR059C,UBC5,0.0333,0.0419,0.0492,14.1,16.5,20.8,16.4,19.8,26.2,664.9,1000,1,3.381,0.113,0.142,0.166
YDR060W,MAK21,0.0841,0.0976,0.1133,6.1,7.1,8.2,6.5,7.6,9,10116.7,955,1,11.25,0.946,1.098,1.275
YDR061W,YDR061W,0.0664,0.0835,0.0998,6.9,8.3,10.4,7.5,9.1,11.7,1769.1,1000,1,2.372,0.158,0.198,0.237
YDR062W,LCB2,0.0598,0.0755,0.0957,7.2,9.2,11.6,7.8,10.1,13.1,17389.6,514,1,8.325,0.498,0.629,0.797
YDR063W,AIM7,0.0386,0.0482,0.0563,12.3,14.4,17.9,14,16.8,21.9,1660,1000,1,6.349,0.245,0.306,0.358
YDR065W,RRG1,0.0261,0.0328,0.0403,17.2,21.1,26.6,20.8,26.8,36.1,707.1,1000,1,1.798,0.047,0.059,0.072
YDR066C,RTR2,0.0257,0.0323,0.0394,17.6,21.4,27,21.3,27.2,37,267.4,1000,0,0.7938,0.02,0.026,0.031
YDR067C,OCA6,0.0153,0.0198,0.0237,29.2,35.1,45.4,41.2,53.9,82.7,660.7,1000,1,3.776,0.058,0.075,0.089
YDR068W,DOS2,0.0699,0.0804,0.0901,7.7,8.6,9.9,8.3,9.4,11,1117.7,1000,1,4.487,0.314,0.361,0.404
YDR069C,DOA4,0.1414,0.1682,0.1941,3.6,4.1,4.9,3.7,4.3,5.2,1747.8,1000,1,1.433,0.203,0.241,0.278
YDR070C,FMP16,0.0167,0.0216,0.0266,26.1,32.1,41.4,35.3,47.1,70.4,1168.6,1000,1,1.316,0.022,0.028,0.035
YDR071C,PAA1,0.0113,0.0133,0.0152,45.6,52.2,61.3,83.6,108.6,157.5,6569.1,1000,1,13.91,0.157,0.185,0.211
YDR072C,IPT1,0.0766,0.0886,0.0997,7,7.8,9,7.5,8.5,9.9,5648.3,1000,1,16.47,1.262,1.459,1.642
YDR073W,SNF11,0.0603,0.0703,0.081,8.6,9.9,11.5,9.4,10.9,13,1220.9,1000,1,5.067,0.306,0.356,0.41
YDR075W,PPH3,0.0912,0.106,0.1207,5.7,6.5,7.6,6.1,7,8.2,839.9,1000,1,3.902,0.356,0.414,0.471
YDR076W,RAD55,0.0963,0.1112,0.1276,5.4,6.2,7.2,5.7,6.6,7.8,410.1,1000,1,0.7188,0.069,0.08,0.092
YDR078C,SHU2,0.0119,0.015,0.0179,38.7,46.3,58,63,85.9,137.4,265.4,1000,0,1.545,0.018,0.023,0.028
YDR079W,PET100,0.0156,0.019,0.0224,31,36.5,44.4,44.8,57.3,79.5,552.4,1000,0,3.195,0.05,0.061,0.072
YDR080W,VPS41,0.0822,0.0967,0.1118,6.2,7.2,8.4,6.6,7.7,9.2,2369.5,1000,1,4.743,0.39,0.459,0.53
YDR081C,PDC2,0.1384,0.1668,0.2005,3.5,4.2,5,3.6,4.3,5.3,2496.6,1000,1,2.89,0.4,0.482,0.58
YDR082W,STN1,0.0731,0.0905,0.1078,6.4,7.7,9.5,6.9,8.3,10.5,553,1000,1,1.25,0.091,0.113,0.135
YDR083W,RRP8,0.0497,0.0559,0.0615,11.3,12.4,13.9,12.7,14.1,16.2,2019,1000,1,4.746,0.236,0.265,0.292
YDR084C,TVP23,0.0286,0.0358,0.0441,15.7,19.4,24.2,18.6,24,31.9,2213.5,1000,1,4.286,0.123,0.153,0.189
YDR085C,AFR1,0.0714,0.0847,0.0991,7,8.2,9.7,7.5,8.9,10.8,1377.9,1000,1,4.785,0.342,0.405,0.474
YDR086C,SSS1,0.0175,0.021,0.0239,29,32.9,39.6,40.8,49,65.4,4717.8,1000,1,41.05,0.718,0.862,0.981
YDR087C,RRP1,0.0267,0.0305,0.0344,20.1,22.7,25.9,25.2,29.4,35,1961,1000,1,4.614,0.123,0.141,0.159
YDR088C,SLU7,0.0997,0.1194,0.1396,5,5.8,7,5.2,6.2,7.5,448.5,1000,1,3.336,0.333,0.398,0.466
YDR089W,YDR089W,0.0666,0.0872,0.1141,6.1,8,10.4,6.5,8.6,11.6,4401.6,1000,1,3.839,0.256,0.335,0.438
YDR090C,YDR090C,0.0474,0.0565,0.0639,10.8,12.3,14.6,12.2,14,17.1,1518.2,1000,1,2.412,0.114,0.136,0.154
YDR091C,RLI1,0.0805,0.095,0.1107,6.3,7.3,8.6,6.7,7.9,9.4,8256.7,1000,1,8.509,0.685,0.808,0.942
YDR092W,UBC13,0.0415,0.0574,0.0725,9.6,12.1,16.7,10.6,13.7,20.1,1671.2,1000,1,7.856,0.326,0.451,0.57
YDR093W,DNF2,0.0716,0.0905,0.1114,6.2,7.7,9.7,6.6,8.3,10.7,15926.4,478,1,6.623,0.474,0.599,0.738
YDR096W,GIS1,0.1309,0.1539,0.1822,3.8,4.5,5.3,4,4.7,5.6,3024.4,1000,1,2.834,0.371,0.436,0.516
YDR097C,MSH6,0.0712,0.0881,0.1072,6.5,7.9,9.7,6.9,8.5,10.8,6042.3,1000,1,2.869,0.204,0.253,0.308
YDR098C,GRX3,0.0189,0.0225,0.0249,27.8,30.8,36.6,38.5,44.5,57.6,6035.5,1000,1,9.84,0.186,0.221,0.245
YDR098C-B,YDR098C-B,0.06,0.3732,2.5609,0.3,1.9,11.6,0.3,1.9,13.1,6.6,1000,0,4.41,0.265,1.646,11.29
YDR099W,BMH2,0.0516,0.0647,0.0785,8.8,10.7,13.4,9.7,12,15.5,8362.4,1000,1,11.25,0.581,0.728,0.883
YDR100W,TVP15,0.0173,0.0202,0.0229,30.3,34.4,40.1,43.3,52.3,66.8,3847.8,1000,1,7.407,0.128,0.15,0.17
YDR101C,ARX1,0.0474,0.0567,0.0672,10.3,12.2,14.6,11.5,13.9,17.1,7261.8,1000,1,8.286,0.393,0.47,0.557
YDR102C,YDR102C,0.1074,0.2165,0.33,2.1,3.2,6.5,2.1,3.3,6.9,36.2,1000,0,0.1428,0.015,0.031,0.047
YDR103W,STE5,0.1302,0.1562,0.1827,3.8,4.4,5.3,3.9,4.6,5.6,2738.3,1000,1,3.239,0.422,0.506,0.592
YDR104C,SPO71,0.0727,0.0856,0.0986,7,8.1,9.5,7.6,8.8,10.5,1753.2,1000,1,0.8838,0.064,0.076,0.087
YDR105C,TMS1,0.0496,0.0625,0.0736,9.4,11.1,14,10.4,12.5,16.2,5305.7,1000,1,3.465,0.172,0.217,0.255
YDR106W,ARP10,0.0213,0.0246,0.0279,24.8,28.2,32.5,33,39.2,48,209.3,1000,0,0.3942,0.008,0.01,0.011
YDR107C,TMN2,0.0453,0.0558,0.0643,10.8,12.4,15.3,12.1,14.2,18,6166.1,1000,1,0.6588,0.03,0.037,0.042
YDR108W,TRS85,0.0906,0.1052,0.1221,5.7,6.6,7.6,6,7,8.3,1182.7,1000,1,1.76,0.159,0.185,0.215
YDR109C,YDR109C,0.086,0.1048,0.1249,5.5,6.6,8.1,5.9,7.1,8.8,1194.1,1000,1,1.599,0.138,0.168,0.2
YDR110W,FOB1,0.0424,0.0494,0.0579,12,14,16.3,13.6,16.3,19.5,1972.2,1000,1,1.466,0.062,0.072,0.085
YDR111C,ALT2,0.0707,0.0826,0.095,7.3,8.4,9.8,7.9,9.2,10.9,4081,1000,1,2.374,0.168,0.196,0.226
YDR113C,PDS1,0.0768,0.0922,0.106,6.5,7.5,9,7,8.1,9.9,859.3,1000,1,1.797,0.138,0.166,0.191
YDR115W,YDR115W,0.0127,0.0151,0.0168,41.1,46,54.4,69.7,84.8,118.7,1957.4,1000,1,5.33,0.068,0.08,0.09
YDR116C,MRPL1,0.0713,0.0909,0.1113,6.2,7.6,9.7,6.6,8.3,10.8,997.1,1000,1,3.281,0.234,0.298,0.365
YDR117C,TMA64,0.079,0.0989,0.1211,5.7,7,8.8,6.1,7.5,9.6,2058.1,1000,1,2.955,0.233,0.292,0.358
YDR118W,APC4,0.0302,0.0371,0.0446,15.5,18.7,23,18.4,22.9,29.8,1141.3,1000,1,0.9708,0.029,0.036,0.043
YDR119W,VBA4,0.0585,0.0777,0.0983,7.1,8.9,11.8,7.6,9.8,13.4,11619.4,804,1,6.476,0.379,0.503,0.637
YDR119W-A,COX26,0.0143,0.0702,0.1142,6.1,9.9,48.6,6.5,11,94.1,51.5,1000,0,1.491,0.021,0.105,0.17
YDR120C,TRM1,0.0774,0.0937,0.1121,6.2,7.4,9,6.6,8,9.8,2866.9,1000,1,6.471,0.501,0.606,0.725
YDR121W,DPB4,0.0516,0.0619,0.0741,9.4,11.2,13.4,10.3,12.6,15.5,705.3,1000,1,4.353,0.225,0.27,0.323
YDR122W,KIN1,0.0656,0.083,0.102,6.8,8.4,10.6,7.3,9.1,11.8,9238.4,940,1,3.237,0.212,0.269,0.33
YDR123C,INO2,0.1074,0.1258,0.1468,4.7,5.5,6.5,5,5.8,6.9,1056.9,1000,1,0.8052,0.086,0.101,0.118
YDR124W,YDR124W,0.0756,0.0902,0.1062,6.5,7.7,9.2,7,8.3,10.1,376.1,1000,1,0.5982,0.045,0.054,0.064
YDR125C,ECM18,0.0773,0.0978,0.1185,5.8,7.1,9,6.2,7.6,9.8,427.8,1000,1,0.6918,0.053,0.068,0.082
YDR126W,SWF1,0.0552,0.0639,0.0726,9.5,10.8,12.6,10.6,12.2,14.3,584,1000,1,1.48,0.082,0.095,0.108
YDR127W,ARO1,0.0562,0.0746,0.0902,7.7,9.3,12.3,8.3,10.2,14.1,54826.4,64,1,13.19,0.741,0.984,1.19
YDR128W,MTC5,0.0721,0.0898,0.1093,6.3,7.7,9.6,6.8,8.4,10.6,2746.7,1000,1,2.877,0.207,0.258,0.315
YDR129C,SAC6,0.0465,0.0709,0.0946,7.3,9.8,14.9,7.9,10.8,17.5,13694.6,694,1,11.05,0.514,0.783,1.045
YDR130C,FIN1,0.0702,0.0848,0.0989,7,8.2,9.9,7.5,8.9,11,756.5,1000,1,0.9648,0.068,0.082,0.095
YDR131C,YDR131C,0.045,0.0603,0.0759,9.1,11.5,15.4,10,13,18.2,586.7,1000,1,0.9948,0.045,0.06,0.076
YDR132C,YDR132C,0.1133,0.1408,0.1631,4.2,4.9,6.1,4.4,5.2,6.5,511.8,1000,1,1.203,0.136,0.169,0.196
YDR133C,YDR133C,0.0276,0.0339,0.0403,17.2,20.4,25.1,20.8,25.7,33.4,2188.9,1000,1,33.76,0.932,1.144,1.36
YDR134C,YDR134C,0.1168,0.1642,0.2117,3.3,4.2,5.9,3.4,4.4,6.3,1530.4,1000,1,16.39,1.914,2.691,3.47
YDR135C,YCF1,0.059,0.0798,0.0959,7.2,8.7,11.7,7.8,9.5,13.3,18903.4,471,1,6.025,0.356,0.481,0.578
YDR137W,RGP1,0.0892,0.1011,0.1136,6.1,6.9,7.8,6.5,7.4,8.4,1558.6,1000,1,2.155,0.192,0.218,0.245
YDR138W,HPR1,0.1082,0.1304,0.1513,4.6,5.3,6.4,4.8,5.6,6.8,2597.7,1000,1,1.784,0.193,0.233,0.27
YDR140W,MTQ2,0.0342,0.0394,0.045,15.4,17.6,20.2,18.2,21.3,25.4,1034.7,1000,1,2.858,0.098,0.113,0.129
YDR141C,DOP1,0.0813,0.1029,0.1242,5.6,6.7,8.5,5.9,7.2,9.3,8955.6,996,1,3.163,0.257,0.326,0.393
YDR142C,PEX7,0.0422,0.0476,0.0532,13,14.6,16.4,15,17,19.6,1496.1,1000,1,1.525,0.064,0.073,0.081
YDR143C,SAN1,0.0978,0.1153,0.1364,5.1,6,7.1,5.4,6.4,7.6,3541,1000,1,4.578,0.448,0.528,0.624
YDR144C,MKC7,0.0842,0.0999,0.1179,5.9,6.9,8.2,6.2,7.5,9,7546.1,999,1,4.013,0.338,0.401,0.473
YDR145W,TAF12,0.0795,0.0946,0.1089,6.4,7.3,8.7,6.8,7.9,9.6,3419.9,1000,1,4.472,0.356,0.423,0.487
YDR146C,SWI5,0.1355,0.1663,0.215,3.2,4.2,5.1,3.3,4.3,5.4,2740.2,1000,1,2.042,0.277,0.34,0.439
YDR147W,EKI1,0.0706,0.0808,0.0915,7.6,8.6,9.8,8.2,9.4,10.9,1974.4,1000,1,1.879,0.133,0.152,0.172
YDR148C,KGD2,0.044,0.0591,0.0734,9.4,11.7,15.7,10.4,13.3,18.7,7794.3,1000,1,8.338,0.367,0.493,0.612
YDR150W,NUM1,0.0726,0.0879,0.1178,5.9,7.9,9.5,6.3,8.6,10.6,20538,420,1,4.777,0.347,0.42,0.563
YDR151C,CTH1,0.0917,0.1044,0.12,5.8,6.6,7.6,6.1,7.1,8.2,2024.5,1000,1,4.646,0.426,0.485,0.558
YDR152W,GIR2,0.0635,0.0727,0.0816,8.5,9.5,10.9,9.3,10.5,12.3,2547.7,1000,1,9.373,0.595,0.681,0.765
YDR153C,ENT5,0.0922,0.1094,0.1265,5.5,6.3,7.5,5.8,6.8,8.1,1778.9,1000,1,5.287,0.488,0.578,0.669
YDR154C,YDR154C,0.0257,0.0324,0.0406,17.1,21.4,26.9,20.6,27.2,36.8,6550.5,1000,1,4.502,0.116,0.146,0.183
YDR156W,RPA14,0.0673,0.0856,0.1064,6.5,8.1,10.3,7,8.8,11.5,453.8,1000,1,9.259,0.623,0.793,0.985
YDR157W,YDR157W,0.0775,0.0943,0.1124,6.2,7.4,8.9,6.6,7.9,9.8,360.5,1000,1,0.8358,0.065,0.079,0.094
YDR158W,HOM2,0.0186,0.0231,0.0272,25.5,30,37.3,34.2,42.8,59.3,27791.5,894,1,50.14,0.933,1.158,1.364
YDR159W,SAC3,0.1113,0.1317,0.1536,4.5,5.3,6.2,4.7,5.6,6.6,3635.1,1000,1,3.03,0.337,0.399,0.465
YDR160W,SSY1,0.0646,0.0756,0.0863,8,9.2,10.7,8.7,10.1,12,3255.5,1000,1,2.319,0.15,0.175,0.2
YDR161W,YDR161W,0.0545,0.0743,0.0929,7.5,9.3,12.7,8.1,10.3,14.6,2451.3,1000,1,4.147,0.226,0.308,0.385
YDR162C,NBP2,0.0626,0.0742,0.0867,8,9.3,11.1,8.7,10.3,12.4,623.1,1000,1,3.775,0.236,0.28,0.327
YDR163W,CWC15,0.0571,0.0823,0.1069,6.5,8.4,12.1,6.9,9.2,13.8,509.7,1000,1,2.273,0.13,0.187,0.243
YDR164C,SEC1,0.0767,0.0905,0.1078,6.4,7.7,9,6.9,8.3,9.9,2610.2,1000,1,3.144,0.241,0.285,0.339
YDR165W,TRM82,0.0425,0.0509,0.0595,11.6,13.6,16.3,13.2,15.7,19.5,2477.8,1000,1,5.265,0.224,0.268,0.313
YDR166C,SEC5,0.0617,0.0858,0.1073,6.5,8.1,11.2,6.9,8.8,12.7,2571.1,1000,1,2.266,0.14,0.194,0.243
YDR167W,TAF10,0.0409,0.0493,0.0581,11.9,14.1,17,13.5,16.3,20.4,1025.7,1000,1,4.625,0.189,0.228,0.269
YDR168W,CDC37,0.0542,0.0639,0.0753,9.2,10.9,12.8,10.1,12.2,14.7,5274.4,1000,1,7.581,0.411,0.484,0.571
YDR169C,STB3,0.1951,0.2623,0.3819,1.8,2.6,3.6,1.8,2.7,3.7,862.7,1000,1,1.972,0.385,0.517,0.753
YDR169C-A,YDR169C-A,0.1092,0.1435,0.1771,3.9,4.8,6.3,4.1,5.1,6.8,45.1,1000,0,0.024,0.003,0.003,0.004
YDR170C,SEC7,0.0613,0.0766,0.099,7,9.1,11.3,7.5,9.9,12.7,26566.7,284,1,8.134,0.499,0.623,0.805
YDR170W-A,YDR170W-A,0.1709,0.249,0.4257,1.6,2.8,4.1,1.7,2.9,4.2,48.6,1000,0,0.414,0.071,0.103,0.176
YDR171W,HSP42,0.0693,0.0888,0.1127,6.2,7.8,10,6.6,8.5,11.1,5409.1,1000,1,4.145,0.287,0.368,0.467
YDR172W,SUP35,0.0591,0.0768,0.0946,7.3,9,11.7,7.9,9.9,13.3,16333.2,619,1,13.91,0.822,1.068,1.316
YDR173C,ARG82,0.0738,0.0901,0.1053,6.6,7.7,9.4,7,8.3,10.4,533.3,1000,1,2.113,0.156,0.19,0.223
YDR174W,HMO1,0.0407,0.0566,0.072,9.6,12.3,17,10.7,14,20.5,6831.3,1000,1,24.85,1.011,1.406,1.789
YDR175C,RSM24,0.0758,0.0928,0.1104,6.3,7.5,9.1,6.7,8.1,10.1,1444.1,1000,1,3.644,0.276,0.338,0.402
YDR176W,NGG1,0.0787,0.0924,0.1076,6.4,7.5,8.8,6.9,8.1,9.7,3141.6,1000,1,3.053,0.24,0.282,0.329
YDR177W,UBC1,0.03,0.0354,0.0397,17.4,19.6,23.1,21.1,24.3,30,2739.3,1000,1,12.69,0.381,0.449,0.504
YDR178W,SDH4,0.0533,0.0722,0.0925,7.5,9.6,13,8.1,10.6,14.9,2822.7,1000,1,8.607,0.459,0.621,0.796
YDR179W-A,YDR179W-A,0.0336,0.044,0.0544,12.8,15.7,20.6,14.6,18.7,26,542,1000,1,1.498,0.05,0.066,0.082
YDR180W,SCC2,0.0648,0.0821,0.0984,7,8.4,10.7,7.6,9.2,12,4058.8,1000,1,2.061,0.134,0.169,0.203
YDR181C,SAS4,0.0854,0.101,0.1176,5.9,6.9,8.1,6.3,7.4,8.8,760.7,1000,1,1.469,0.125,0.148,0.173
YDR182W,CDC1,0.0653,0.0813,0.0988,7,8.5,10.6,7.5,9.3,11.9,6049.4,1000,1,5.182,0.338,0.421,0.512
YDR182W-A,YDR182W-A,0.0357,0.0514,0.0679,10.2,13.5,19.4,11.4,15.6,24,150.7,1000,0,0.2208,0.008,0.011,0.015
YDR183W,PLP1,0.0261,0.0308,0.0357,19.4,22.5,26.6,24.1,29,36.2,558.5,1000,1,2.185,0.057,0.067,0.078
YDR184C,ATC1,0.2132,0.2627,0.3197,2.2,2.6,3.3,2.2,2.7,3.4,363,1000,1,3.961,0.845,1.041,1.266
YDR185C,UPS3,0.0315,0.0374,0.0417,16.6,18.5,22,19.9,22.7,28.1,293.8,1000,0,1.037,0.033,0.039,0.043
YDR186C,YDR186C,0.1107,0.1277,0.1505,4.6,5.4,6.3,4.8,5.7,6.7,5806.4,1000,1,5.991,0.663,0.765,0.902
YDR188W,CCT6,0.0482,0.065,0.0793,8.7,10.7,14.4,9.6,11.9,16.8,13256.3,814,1,15.77,0.76,1.025,1.251
YDR189W,SLY1,0.0724,0.0864,0.1012,6.9,8,9.6,7.4,8.7,10.6,5117.1,1000,1,4.947,0.358,0.427,0.501
YDR190C,RVB1,0.064,0.0842,0.1067,6.5,8.2,10.8,6.9,9,12.1,4301,1000,1,9.85,0.63,0.829,1.051
YDR191W,HST4,0.044,0.0511,0.0582,11.9,13.6,15.8,13.5,15.7,18.7,717.8,1000,1,1.19,0.052,0.061,0.069
YDR192C,NUP42,0.0642,0.0781,0.0937,7.4,8.9,10.8,8,9.7,12.1,1516.5,1000,1,1.477,0.095,0.115,0.138
YDR194C,MSS116,0.0621,0.071,0.0798,8.7,9.8,11.2,9.5,10.8,12.6,5867,1000,1,9.542,0.593,0.678,0.761
YDR195W,REF2,0.0969,0.11,0.1254,5.5,6.3,7.2,5.8,6.7,7.7,1050.7,1000,1,3.83,0.371,0.421,0.48
YDR196C,CAB5,0.0424,0.0549,0.0663,10.5,12.6,16.4,11.7,14.4,19.5,456.3,1000,1,4.45,0.189,0.244,0.295
YDR197W,CBS2,0.0923,0.1073,0.1217,5.7,6.5,7.5,6,6.9,8.1,842.4,1000,1,1.857,0.171,0.199,0.226
YDR198C,RKM2,0.0402,0.0459,0.0518,13.4,15.1,17.3,15.4,17.8,20.8,1150.4,1000,1,2.108,0.085,0.097,0.109
YDR200C,VPS64,0.102,0.1172,0.1335,5.2,5.9,6.8,5.5,6.3,7.3,972.2,1000,1,2.337,0.238,0.274,0.312
YDR201W,SPC19,0.0352,0.0427,0.0498,13.9,16.2,19.7,16.1,19.4,24.5,633.5,1000,1,3.427,0.121,0.146,0.171
YDR202C,RAV2,0.0475,0.0547,0.0618,11.2,12.7,14.6,12.6,14.5,17.1,1348,1000,1,2.098,0.1,0.115,0.13
YDR204W,COQ4,0.0403,0.0548,0.0701,9.9,12.6,17.2,11,14.5,20.8,2296.6,1000,1,2.197,0.089,0.12,0.154
YDR205W,MSC2,0.1069,0.1239,0.1443,4.8,5.6,6.5,5,5.9,6.9,3016.3,1000,1,2.458,0.263,0.305,0.355
YDR206W,EBS1,0.0697,0.0795,0.0912,7.6,8.7,9.9,8.2,9.5,11,5696.1,1000,1,3.161,0.22,0.251,0.288
YDR207C,UME6,0.126,0.1558,0.2006,3.5,4.4,5.5,3.6,4.7,5.8,1063.6,1000,1,2.372,0.299,0.37,0.476
YDR208W,MSS4,0.0946,0.1098,0.1283,5.4,6.3,7.3,5.7,6.7,7.9,4660.4,1000,1,3.196,0.302,0.351,0.41
YDR210W,YDR210W,0.0173,0.0203,0.0228,30.4,34.1,40.1,43.5,51.7,66.8,2105.2,1000,1,5.93,0.103,0.12,0.135
YDR210W-B,YDR210W-B,0.178,0.2923,0.4189,1.7,2.4,3.9,1.7,2.4,4.1,35.2,1000,0,11.79,2.099,3.446,4.939
YDR211W,GCD6,0.0658,0.0768,0.0922,7.5,9,10.5,8.1,9.9,11.8,6608.9,1000,1,5.795,0.381,0.445,0.534
YDR212W,TCP1,0.0439,0.0538,0.0639,10.8,12.9,15.8,12.2,14.8,18.7,17550,876,1,10.69,0.469,0.575,0.683
YDR213W,UPC2,0.088,0.1089,0.1299,5.3,6.4,7.9,5.6,6.8,8.5,2307.9,1000,1,0.6612,0.058,0.072,0.086
YDR214W,AHA1,0.0606,0.0814,0.104,6.7,8.5,11.4,7.1,9.3,12.9,9090.5,900,1,8.828,0.535,0.719,0.918
YDR216W,ADR1,0.0767,0.096,0.1201,5.8,7.2,9,6.1,7.8,9.9,4190.6,999,1,0.8898,0.068,0.085,0.107
YDR217C,RAD9,0.1275,0.1684,0.2263,3.1,4.1,5.4,3.2,4.3,5.7,1181,1000,1,2.433,0.31,0.41,0.551
YDR219C,MFB1,0.0535,0.0699,0.0852,8.1,9.9,13,8.9,11,14.9,1118.1,1000,1,1.76,0.094,0.123,0.15
YDR221W,GTB1,0.0765,0.0913,0.1077,6.4,7.6,9.1,6.9,8.2,10,3344.4,1000,1,0.9042,0.069,0.083,0.097
YDR222W,YDR222W,0.066,0.0787,0.0909,7.6,8.8,10.5,8.3,9.7,11.7,2473.3,1000,1,1.149,0.076,0.09,0.104
YDR223W,CRF1,0.0469,0.0654,0.0839,8.3,10.6,14.8,9,11.8,17.3,277,1000,0,0.225,0.011,0.015,0.019
YDR224C,HTB1,0.0502,0.0598,0.0686,10.1,11.6,13.8,11.2,13.1,16,5726.3,1000,1,88.67,4.451,5.303,6.083
YDR225W,HTA1,0.0221,0.0276,0.0324,21.4,25.1,31.4,27.2,33.5,45.7,12568.4,1000,1,80.03,1.769,2.209,2.593
YDR226W,ADK1,0.028,0.0397,0.053,13.1,17.5,24.7,15,21.1,32.8,21488.5,659,1,53.18,1.489,2.111,2.819
YDR227W,SIR4,0.095,0.1112,0.1307,5.3,6.2,7.3,5.6,6.6,7.9,3026.6,1000,1,2.446,0.232,0.272,0.32
YDR228C,PCF11,0.1311,0.1549,0.1795,3.9,4.5,5.3,4,4.7,5.6,1546.5,1000,1,2.73,0.358,0.423,0.49
YDR229W,IVY1,0.0708,0.0847,0.099,7,8.2,9.8,7.5,8.9,10.8,1666,1000,1,2.713,0.192,0.23,0.269
YDR231C,COX20,0.0454,0.0607,0.0753,9.2,11.4,15.3,10.1,12.9,18,751.1,1000,1,3.09,0.14,0.188,0.233
YDR232W,HEM1,0.0644,0.0811,0.0973,7.1,8.5,10.8,7.7,9.3,12.1,11934.4,841,1,6.35,0.409,0.515,0.618
YDR233C,RTN1,0.068,0.0828,0.099,7,8.4,10.2,7.5,9.1,11.3,8294.7,994,1,39.41,2.68,3.263,3.901
YDR234W,LYS4,0.0558,0.0707,0.0879,7.9,9.8,12.4,8.6,10.9,14.2,7879.1,1000,1,11.82,0.659,0.835,1.039
YDR235W,PRP42,0.0243,0.0318,0.0393,17.6,21.8,28.6,21.4,27.8,39.9,1787.9,1000,1,2.798,0.068,0.089,0.11
YDR236C,FMN1,0.0269,0.0333,0.0382,18.1,20.8,25.8,22.1,26.2,34.7,2519.9,1000,1,3.606,0.097,0.12,0.138
YDR237W,MRPL7,0.0507,0.0619,0.0724,9.6,11.2,13.7,10.6,12.6,15.8,1644.6,1000,1,2.165,0.11,0.134,0.157
YDR238C,SEC26,0.0561,0.0675,0.0822,8.4,10.3,12.4,9.2,11.4,14.1,28105,300,1,12.93,0.725,0.873,1.063
YDR239C,YDR239C,0.0811,0.0937,0.1069,6.5,7.4,8.5,6.9,8,9.3,2150.6,1000,1,1.959,0.159,0.184,0.209
YDR240C,SNU56,0.0545,0.0636,0.0732,9.5,10.9,12.7,10.5,12.2,14.6,803.9,1000,1,1.571,0.086,0.1,0.115
YDR242W,AMD2,0.0654,0.0777,0.0894,7.8,8.9,10.6,8.4,9.8,11.8,601.1,1000,1,2.261,0.148,0.176,0.202
YDR243C,PRP28,0.0933,0.1085,0.1256,5.5,6.4,7.4,5.8,6.8,8,906,1000,1,0.87,0.081,0.094,0.109
YDR244W,PEX5,0.0784,0.0933,0.1081,6.4,7.4,8.8,6.8,8,9.7,1609.2,1000,1,2.053,0.161,0.192,0.222
YDR245W,MNN10,0.0526,0.0614,0.0697,9.9,11.3,13.2,11,12.7,15.2,3932.2,1000,1,6.671,0.351,0.41,0.465
YDR246W,TRS23,0.0605,0.0736,0.0878,7.9,9.4,11.5,8.6,10.4,12.9,748.1,1000,1,2.032,0.123,0.15,0.178
YDR246W-A,YDR246W-A,0.057,0.0738,0.0967,7.2,9.4,12.2,7.7,10.4,13.8,94.1,1000,0,0.3492,0.02,0.026,0.034
YDR247W,VHS1,0.1375,0.1703,0.2177,3.2,4.1,5,3.3,4.2,5.3,705.4,1000,1,1.269,0.175,0.216,0.276
YDR248C,YDR248C,0.033,0.04,0.0467,14.8,17.3,21,17.4,21,26.6,439.5,1000,0,3.727,0.123,0.149,0.174
YDR249C,YDR249C,0.0378,0.0455,0.0546,12.7,15.2,18.4,14.5,17.9,22.5,763.3,1000,1,2.274,0.086,0.104,0.124
YDR251W,PAM1,0.0901,0.108,0.1291,5.4,6.4,7.7,5.7,6.9,8.3,7314.3,998,1,3.868,0.349,0.418,0.499
YDR252W,BTT1,0.0248,0.0299,0.0359,19.3,23.2,28,23.9,30.1,38.8,442.3,1000,0,0.9912,0.025,0.03,0.036
